TRANSAKCIJE;MERITVE;LETO;DATA
Domača potrošnja;Tekoče cene (mio EUR);1995;10805.037016
Domača potrošnja;Tekoče cene (mio EUR);1996;12278.192038
Domača potrošnja;Tekoče cene (mio EUR);1997;13969.80988
Domača potrošnja;Tekoče cene (mio EUR);1998;15550.7751
Domača potrošnja;Tekoče cene (mio EUR);1999;17895.275212
Domača potrošnja;Tekoče cene (mio EUR);2000;19425.228534
Domača potrošnja;Tekoče cene (mio EUR);2001;21157.671353
Domača potrošnja;Tekoče cene (mio EUR);2002;23039.241014
Domača potrošnja;Tekoče cene (mio EUR);2003;25457.650678
Domača potrošnja;Tekoče cene (mio EUR);2004;27820.65137
Domača potrošnja;Tekoče cene (mio EUR);2005;29092.084369
Domača potrošnja;Tekoče cene (mio EUR);2006;31309.535033
Domača potrošnja;Tekoče cene (mio EUR);2007;35403.037742
Domača potrošnja;Tekoče cene (mio EUR);2008;38540.395654
Domača potrošnja;Tekoče cene (mio EUR);2009;35313.193287
Domača potrošnja;Tekoče cene (mio EUR);2010;35663.203086
Domača potrošnja;Tekoče cene (mio EUR);2011;36328.491102
Domača potrošnja;Tekoče cene (mio EUR);2012;34699.529877
Domača potrošnja;Tekoče cene (mio EUR);2013;34329.629964
Domača potrošnja;Tekoče cene (mio EUR);2014;34724.141679
Domača potrošnja;Tekoče cene (mio EUR);2015;35372.046281
Domača potrošnja;Tekoče cene (mio EUR);2016;36558.1294
Domača potrošnja;Tekoče cene (mio EUR);2017;38762.831264
Domača potrošnja;Tekoče cene (mio EUR);2018;41587.317794
Domača potrošnja;Tekoče cene (mio EUR);2019;43981.365666
Domača potrošnja;Tekoče cene (mio EUR);2020;42534.74458
Domača potrošnja;Tekoče cene (mio EUR);2021;48967.898371
Domača potrošnja;Tekoče cene (mio EUR);2022;55915.299234
Domača potrošnja;Tekoče cene (mio EUR);2023;59856.018496
Domača potrošnja;Tekoče cene (mio EUR);2024;62557.02957
Domača potrošnja;Tekoče cene (% od BDP);1995;102.239804
Domača potrošnja;Tekoče cene (% od BDP);1996;101.249653
Domača potrošnja;Tekoče cene (% od BDP);1997;101.139689
Domača potrošnja;Tekoče cene (% od BDP);1998;101.698567
Domača potrošnja;Tekoče cene (% od BDP);1999;104.349069
Domača potrošnja;Tekoče cene (% od BDP);2000;103.701215
Domača potrošnja;Tekoče cene (% od BDP);2001;101.051254
Domača potrošnja;Tekoče cene (% od BDP);2002;98.997151
Domača potrošnja;Tekoče cene (% od BDP);2003;100.320401
Domača potrošnja;Tekoče cene (% od BDP);2004;101.457904
Domača potrošnja;Tekoče cene (% od BDP);2005;100.644677
Domača potrošnja;Tekoče cene (% od BDP);2006;100.048234
Domača potrošnja;Tekoče cene (% od BDP);2007;101.3342
Domača potrošnja;Tekoče cene (% od BDP);2008;102.115259
Domača potrošnja;Tekoče cene (% od BDP);2009;98.556654
Domača potrošnja;Tekoče cene (% od BDP);2010;98.924918
Domača potrošnja;Tekoče cene (% od BDP);2011;98.766463
Domača potrošnja;Tekoče cene (% od BDP);2012;96.565751
Domača potrošnja;Tekoče cene (% od BDP);2013;95.250897
Domača potrošnja;Tekoče cene (% od BDP);2014;93.166812
Domača potrošnja;Tekoče cene (% od BDP);2015;91.890027
Domača potrošnja;Tekoče cene (% od BDP);2016;91.365275
Domača potrošnja;Tekoče cene (% od BDP);2017;90.938174
Domača potrošnja;Tekoče cene (% od BDP);2018;91.476221
Domača potrošnja;Tekoče cene (% od BDP);2019;91.330159
Domača potrošnja;Tekoče cene (% od BDP);2020;91.005409
Domača potrošnja;Tekoče cene (% od BDP);2021;94.128042
Domača potrošnja;Tekoče cene (% od BDP);2022;98.254275
Domača potrošnja;Tekoče cene (% od BDP);2023;93.596339
Domača potrošnja;Tekoče cene (% od BDP);2024;93.413119
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);1995;"""..."""
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);1996;11091.057767
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);1997;12926.152639
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);1998;14556.014114
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);1999;16845.171236
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2000;18090.718385
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2001;19643.776959
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2002;21621.307339
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2003;24174.803044
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2004;26743.551615
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2005;28294.283011
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2006;30521.206206
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2007;34199.459143
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2008;36578.073193
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2009;35062.832358
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2010;34975.731149
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2011;35491.186662
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2012;34249.538343
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2013;34110.886802
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2014;34753.810024
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2015;35436.842015
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2016;36391.99375
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2017;38134.742053
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2018;40688.711134
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2019;43073.227005
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2020;42156.519209
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2021;46919.27003
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2022;51148.577459
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2023;55829.773183
Domača potrošnja;Stalne cene predhodnega leta (mio EUR);2024;61102.369741
Domača potrošnja;Stalne cene, referenčno leto 2010 (mio EUR);1995;23401.069328
Domača potrošnja;Stalne cene, referenčno leto 2010 (mio EUR);1996;24020.520368
Domača potrošnja;Stalne cene, referenčno leto 2010 (mio EUR);1997;25288.16228
Domača potrošnja;Stalne cene, referenčno leto 2010 (mio EUR);1998;26349.309705
Domača potrošnja;Stalne cene, referenčno leto 2010 (mio EUR);1999;28542.540876
Domača potrošnja;Stalne cene, referenčno leto 2010 (mio EUR);2000;28854.268117
Domača potrošnja;Stalne cene, referenčno leto 2010 (mio EUR);2001;29178.900326
