STATISTIČNA REGIJA;STAROSTNI RAZRED;MESEC;DATA
SLOVENIJA;15-24;2010M01;38654
SLOVENIJA;15-24;2010M02;38277
SLOVENIJA;15-24;2010M03;37915
SLOVENIJA;15-24;2010M04;37485
SLOVENIJA;15-24;2010M05;36886
SLOVENIJA;15-24;2010M06;36609
SLOVENIJA;15-24;2010M07;35836
SLOVENIJA;15-24;2010M08;35185
SLOVENIJA;15-24;2010M09;35592
SLOVENIJA;15-24;2010M10;36303
SLOVENIJA;15-24;2010M11;36230
SLOVENIJA;15-24;2010M12;35307
SLOVENIJA;15-24;2011M01;34764
SLOVENIJA;15-24;2011M02;34654
SLOVENIJA;15-24;2011M03;34602
SLOVENIJA;15-24;2011M04;34619
SLOVENIJA;15-24;2011M05;34478
SLOVENIJA;15-24;2011M06;34083
SLOVENIJA;15-24;2011M07;33340
SLOVENIJA;15-24;2011M08;32658
SLOVENIJA;15-24;2011M09;32855
SLOVENIJA;15-24;2011M10;33322
SLOVENIJA;15-24;2011M11;33089
SLOVENIJA;15-24;2011M12;31905
SLOVENIJA;15-24;2012M01;31211
SLOVENIJA;15-24;2012M02;30853
SLOVENIJA;15-24;2012M03;30723
SLOVENIJA;15-24;2012M04;30583
SLOVENIJA;15-24;2012M05;30163
SLOVENIJA;15-24;2012M06;29659
SLOVENIJA;15-24;2012M07;28958
SLOVENIJA;15-24;2012M08;28021
SLOVENIJA;15-24;2012M09;28165
SLOVENIJA;15-24;2012M10;28623
SLOVENIJA;15-24;2012M11;28594
SLOVENIJA;15-24;2012M12;27643
SLOVENIJA;15-24;2013M01;27098
SLOVENIJA;15-24;2013M02;26738
SLOVENIJA;15-24;2013M03;26360
SLOVENIJA;15-24;2013M04;26273
SLOVENIJA;15-24;2013M05;26054
SLOVENIJA;15-24;2013M06;25805
SLOVENIJA;15-24;2013M07;25404
SLOVENIJA;15-24;2013M08;24790
SLOVENIJA;15-24;2013M09;24916
SLOVENIJA;15-24;2013M10;25568
SLOVENIJA;15-24;2013M11;25545
SLOVENIJA;15-24;2013M12;24455
SLOVENIJA;15-24;2014M01;24125
SLOVENIJA;15-24;2014M02;24070
SLOVENIJA;15-24;2014M03;24314
SLOVENIJA;15-24;2014M04;24699
SLOVENIJA;15-24;2014M05;24903
SLOVENIJA;15-24;2014M06;25121
SLOVENIJA;15-24;2014M07;24996
SLOVENIJA;15-24;2014M08;24631
SLOVENIJA;15-24;2014M09;25249
SLOVENIJA;15-24;2014M10;26471
SLOVENIJA;15-24;2014M11;26507
SLOVENIJA;15-24;2014M12;25691
SLOVENIJA;15-24;2015M01;25434
SLOVENIJA;15-24;2015M02;25636
SLOVENIJA;15-24;2015M03;25872
SLOVENIJA;15-24;2015M04;25984
SLOVENIJA;15-24;2015M05;26091
SLOVENIJA;15-24;2015M06;26421
SLOVENIJA;15-24;2015M07;26280
SLOVENIJA;15-24;2015M08;26114
SLOVENIJA;15-24;2015M09;27052
SLOVENIJA;15-24;2015M10;28382
SLOVENIJA;15-24;2015M11;28513
SLOVENIJA;15-24;2015M12;27554
SLOVENIJA;15-24;2016M01;27523
SLOVENIJA;15-24;2016M02;27770
SLOVENIJA;15-24;2016M03;28351
