MERITVE;STATISTIČNA REGIJA;LETO;DATA
Površina (km2) - 1. januar;SLOVENIJA;2008;20273
Površina (km2) - 1. januar;SLOVENIJA;2009;20273
Površina (km2) - 1. januar;SLOVENIJA;2010;20273
Površina (km2) - 1. januar;SLOVENIJA;2011;20273
Površina (km2) - 1. januar;SLOVENIJA;2012;20273
Površina (km2) - 1. januar;SLOVENIJA;2013;20273
Površina (km2) - 1. januar;SLOVENIJA;2014;20273
Površina (km2) - 1. januar;SLOVENIJA;2015;20273
Površina (km2) - 1. januar;SLOVENIJA;2016;20273
Površina (km2) - 1. januar;SLOVENIJA;2017;20273
Površina (km2) - 1. januar;SLOVENIJA;2018;20273
Površina (km2) - 1. januar;SLOVENIJA;2019;20271
Površina (km2) - 1. januar;SLOVENIJA;2020;20271
Površina (km2) - 1. januar;SLOVENIJA;2021;20271
Površina (km2) - 1. januar;SLOVENIJA;2022;20271
Površina (km2) - 1. januar;SLOVENIJA;2023;20271
Površina (km2) - 1. januar;SLOVENIJA;2024;20271
Površina (km2) - 1. januar;Pomurska;2008;1337
Površina (km2) - 1. januar;Pomurska;2009;1337
Površina (km2) - 1. januar;Pomurska;2010;1337
Površina (km2) - 1. januar;Pomurska;2011;1337
Površina (km2) - 1. januar;Pomurska;2012;1337
Površina (km2) - 1. januar;Pomurska;2013;1337
Površina (km2) - 1. januar;Pomurska;2014;1337
Površina (km2) - 1. januar;Pomurska;2015;1337
Površina (km2) - 1. januar;Pomurska;2016;1337
Površina (km2) - 1. januar;Pomurska;2017;1337
Površina (km2) - 1. januar;Pomurska;2018;1337
Površina (km2) - 1. januar;Pomurska;2019;1336
Površina (km2) - 1. januar;Pomurska;2020;1336
Površina (km2) - 1. januar;Pomurska;2021;1336
Površina (km2) - 1. januar;Pomurska;2022;1336
Površina (km2) - 1. januar;Pomurska;2023;1336
Površina (km2) - 1. januar;Pomurska;2024;1336
Površina (km2) - 1. januar;Podravska;2008;2170
Površina (km2) - 1. januar;Podravska;2009;2170
Površina (km2) - 1. januar;Podravska;2010;2170
Površina (km2) - 1. januar;Podravska;2011;2170
Površina (km2) - 1. januar;Podravska;2012;2170
Površina (km2) - 1. januar;Podravska;2013;2170
Površina (km2) - 1. januar;Podravska;2014;2170
Površina (km2) - 1. januar;Podravska;2015;2170
Površina (km2) - 1. januar;Podravska;2016;2170
Površina (km2) - 1. januar;Podravska;2017;2170
Površina (km2) - 1. januar;Podravska;2018;2170
Površina (km2) - 1. januar;Podravska;2019;2170
Površina (km2) - 1. januar;Podravska;2020;2170
Površina (km2) - 1. januar;Podravska;2021;2170
Površina (km2) - 1. januar;Podravska;2022;2170
Površina (km2) - 1. januar;Podravska;2023;2170
Površina (km2) - 1. januar;Podravska;2024;2170
Površina (km2) - 1. januar;Koroška;2008;1041
Površina (km2) - 1. januar;Koroška;2009;1041
Površina (km2) - 1. januar;Koroška;2010;1041
Površina (km2) - 1. januar;Koroška;2011;1041
Površina (km2) - 1. januar;Koroška;2012;1041
Površina (km2) - 1. januar;Koroška;2013;1041
Površina (km2) - 1. januar;Koroška;2014;1041
Površina (km2) - 1. januar;Koroška;2015;1041
Površina (km2) - 1. januar;Koroška;2016;1041
Površina (km2) - 1. januar;Koroška;2017;1041
Površina (km2) - 1. januar;Koroška;2018;1041
Površina (km2) - 1. januar;Koroška;2019;1041
Površina (km2) - 1. januar;Koroška;2020;1041
Površina (km2) - 1. januar;Koroška;2021;1041
Površina (km2) - 1. januar;Koroška;2022;1041
Površina (km2) - 1. januar;Koroška;2023;1041
Površina (km2) - 1. januar;Koroška;2024;1041
Površina (km2) - 1. januar;Savinjska;2008;2384
Površina (km2) - 1. januar;Savinjska;2009;2384
Površina (km2) - 1. januar;Savinjska;2010;2384
Površina (km2) - 1. januar;Savinjska;2011;2384
Površina (km2) - 1. januar;Savinjska;2012;2384
Površina (km2) - 1. januar;Savinjska;2013;2384
Površina (km2) - 1. januar;Savinjska;2014;2384
Površina (km2) - 1. januar;Savinjska;2015;2301
Površina (km2) - 1. januar;Savinjska;2016;2301
Površina (km2) - 1. januar;Savinjska;2017;2301
Površina (km2) - 1. januar;Savinjska;2018;2301
Površina (km2) - 1. januar;Savinjska;2019;2301
Površina (km2) - 1. januar;Savinjska;2020;2301
Površina (km2) - 1. januar;Savinjska;2021;2301
Površina (km2) - 1. januar;Savinjska;2022;2301
Površina (km2) - 1. januar;Savinjska;2023;2301
Površina (km2) - 1. januar;Savinjska;2024;2301
Površina (km2) - 1. januar;Zasavska;2008;264
Površina (km2) - 1. januar;Zasavska;2009;264
Površina (km2) - 1. januar;Zasavska;2010;264
Površina (km2) - 1. januar;Zasavska;2011;264
Površina (km2) - 1. januar;Zasavska;2012;264
Površina (km2) - 1. januar;Zasavska;2013;264
Površina (km2) - 1. januar;Zasavska;2014;264
Površina (km2) - 1. januar;Zasavska;2015;485
Površina (km2) - 1. januar;Zasavska;2016;485
Površina (km2) - 1. januar;Zasavska;2017;485
Površina (km2) - 1. januar;Zasavska;2018;485
Površina (km2) - 1. januar;Zasavska;2019;485
Površina (km2) - 1. januar;Zasavska;2020;485
Površina (km2) - 1. januar;Zasavska;2021;485
Površina (km2) - 1. januar;Zasavska;2022;485
Površina (km2) - 1. januar;Zasavska;2023;485
Površina (km2) - 1. januar;Zasavska;2024;485
Površina (km2) - 1. januar;Posavska;2008;885
Površina (km2) - 1. januar;Posavska;2009;885
Površina (km2) - 1. januar;Posavska;2010;885
Površina (km2) - 1. januar;Posavska;2011;885
Površina (km2) - 1. januar;Posavska;2012;885
Površina (km2) - 1. januar;Posavska;2013;885
Površina (km2) - 1. januar;Posavska;2014;885
Površina (km2) - 1. januar;Posavska;2015;968
Površina (km2) - 1. januar;Posavska;2016;968
Površina (km2) - 1. januar;Posavska;2017;968
Površina (km2) - 1. januar;Posavska;2018;968
Površina (km2) - 1. januar;Posavska;2019;968
Površina (km2) - 1. januar;Posavska;2020;968
Površina (km2) - 1. januar;Posavska;2021;968
Površina (km2) - 1. januar;Posavska;2022;968
Površina (km2) - 1. januar;Posavska;2023;968
Površina (km2) - 1. januar;Posavska;2024;968
Površina (km2) - 1. januar;Jugovzhodna Slovenija;2008;2675
Površina (km2) - 1. januar;Jugovzhodna Slovenija;2009;2675
Površina (km2) - 1. januar;Jugovzhodna Slovenija;2010;2675
Površina (km2) - 1. januar;Jugovzhodna Slovenija;2011;2675
Površina (km2) - 1. januar;Jugovzhodna Slovenija;2012;2675
Površina (km2) - 1. januar;Jugovzhodna Slovenija;2013;2675
Površina (km2) - 1. januar;Jugovzhodna Slovenija;2014;2675
Površina (km2) - 1. januar;Jugovzhodna Slovenija;2015;2675
Površina (km2) - 1. januar;Jugovzhodna Slovenija;2016;2675
Površina (km2) - 1. januar;Jugovzhodna Slovenija;2017;2675
Površina (km2) - 1. januar;Jugovzhodna Slovenija;2018;2675
Površina (km2) - 1. januar;Jugovzhodna Slovenija;2019;2675
Površina (km2) - 1. januar;Jugovzhodna Slovenija;2020;2675
Površina (km2) - 1. januar;Jugovzhodna Slovenija;2021;2675
